lf,beta,T_time_(ns)
6.0, 0.1,2710935733610
6.0, 0.1,2870458843561
3.5, 3.0,32157908022905
6.0, 0.1,2947531868736
6.0, 0.1,2403650168803
6.0, 0.1,2664868324033
3.5, 3.0,29965378777603
6.0, 0.1,2762335626069
6.0, 1.0,11078763907430
6.0, 0.1,3170427958367
6.0, 0.1,2380548964281
3.5, 3.0,29630512907241
6.0, 1.0,10205134370438
6.0, 0.1,2711005193884
6.0, 0.1,2827261697951
3.5, 3.0,29974921808879
3.5, 3.0,31536778297602
3.5, 3.0,31673481936462
6.0, 1.0,9533516484844
3.5, 1.0,14495079239879
3.5, 3.0,35049768511339
6.0, 0.1,2980570275594
6.0, 0.1,2727691953166
3.5, 3.0,29644856754260
3.5, 3.0,31669500771893
3.5, 1.0,16075558239648
6.0, 3.0,16771601465276
3.5, 3.0,29106622499098
6.0, 1.0,10615150889369
3.5, 3.0,31053616667379
6.0, 0.1,3281717915458
6.0, 0.1,2773482814391
3.5, 1.0,18025436752364
6.0, 0.1,2803013343058
6.0, 0.1,2874904672092
6.0, 1.0,10645016695937
6.0, 1.0,11699145891257
6.0, 0.1,3108956717479
6.0, 1.0,10781946365345
3.5, 3.0,31136849594498
6.0, 0.1,2836393711563
6.0, 0.1,2689562963441
6.0, 0.1,2741419067052
6.0, 1.0,10321515803698
6.0, 0.1,2568688540216
6.0, 3.0,17753453243397
6.0, 1.0,10411318808623
6.0, 1.0,9267221527211
6.0, 3.0,19063211205536
6.0, 1.0,10219213056616
6.0, 1.0,10676565994509
6.0, 1.0,11054370840462
6.0, 1.0,8951880674925
6.0, 1.0,10544130570384
6.0, 1.0,11853190357794
6.0, 0.1,2677716403913
6.0, 1.0,11405666831823
6.0, 1.0,9191340522623
6.0, 1.0,10632826196588
6.0, 1.0,10939009765161
6.0, 1.0,10420761440577
6.0, 3.0,19413152357438
6.0, 1.0,10500816393708
6.0, 1.0,12164509379645
6.0, 1.0,10975588563448
6.0, 1.0,10699394819679
6.0, 1.0,11798934636401
6.0, 1.0,10227905893911
6.0, 1.0,11061314436176
6.0, 3.0,18110572480747
6.0, 1.0,10099722955126
6.0, 1.0,12138469849027
6.0, 1.0,11173127640092
6.0, 1.0,9822414737240
6.0, 1.0,11009736305823
6.0, 1.0,10946343915848
6.0, 1.0,11094451521257
6.0, 1.0,11091055790415
6.0, 1.0,9588662178045
